AGREEMENT_ID,BATCH_ID,BATCH_DESCRIPTION,WORK_ID,WORK_TITLE,WRITERS,RECORDING_ARTIST,RECORDING_TITLE,RIGHT_TYPE_GROUP,RIGHT_TYPE,TERRITORY_ID,TERRITORY,EXPLOITATION_LICENCE_ID,EXPLOITATION_TITLE,EXPLOITATION_ARTIST,EXPLOITATION_DESCRIPTION,EXPLOITATION_FORMAT,AV_PRODUCTION_TITLE,ROYALTY_PERIOD_START_DATE,ROYALTY_PERIOD_END_DATE,PERCENTAGE_PAID,UNIT_SUM,CREDIT_OR_DEBIT,DISTRIBUTED_AMOUNT,WHT_ADJ_RECEIVED_AMOUNT,WHT_ADJ_SOURCE_AMOUNT,DIRECT_COLLECT_FEE_TAKEN,DIRECT_COLLECTED_AMOUNT,SOURCE_NAME,GENERATED_AT_COVER_RATE,TERRITORY_ISO_ALPHA_2_CODE,CUSTOM_WORK_ID,REVENUE_SOURCE_NAME
AAGR88189,BCH50304,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,24-Aug-17,24-Aug-17,16.67,1,Credit,0.068972426,0.07074095,0.07074095,,0.07074095,SUISA,N,CH,,
AAGR88189,BCH50304,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,4-Nov-17,4-Nov-17,16.67,1,Credit,0.059119223,0.0606351,0.0606351,,0.0606351,SUISA,N,CH,,
AAGR88189,BCH50304,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,12-Dec-17,12-Dec-17,16.67,1,Credit,0.059119223,0.0606351,0.0606351,,0.0606351,SUISA,N,CH,,
AAGR88189,BCH50305,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK583636,The Way I Are (Dance With Somebody),"Rubicam, Shannon [AIP102175]; Rexha, Bleta [AIP133612]; Jeberg, Jonas [AIP13946]; Coffee, Clarence Bernard [AIP16456]; George, Robert Merril [AIP184730]; Hindlin, Jacob Kasher [AIP40775]; Carter, Dwayne Michael [AIP6958]; Little, Joel [AIP84665]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,20-Jun-17,20-Jun-17,7.19,1,Credit,0.147798056,0.15158775,0.15158775,,0.15158775,SUISA,N,CH,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK925565,Resuscitate Me,"Hansen, Mich Hedin [AIP52425]; Hector, Wayne Anthony [AIP18240]; Jeberg, Jonas [AIP13946]; Secon, Lucas [AIP90564]",,,PERF,Television Broadcast Right,TERR624,Czech Republic,,,,,,,1-Jan-18,1-Feb-18,12.5,1,Credit,0.016098208,0.016511002,0.01877724,,0.01877724,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK925582,One Step At A Time,"Evans, Lauren K. [AIP221062]; Hansen, Mich Hedin [AIP52425]; Jeberg, Jonas [AIP13946]; Nevil, Robert S [AIP14444]",,,PERF,Right of Public Performance of Radio Broadcast,TERR624,Czech Republic,,,,,,,22-Mar-18,18-Jun-18,100,,Credit,0.009733816,0.009983378,0.01135368,,0.01135368,OSA,N,CZ,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,16-Jul-17,16-Jul-17,8.24,1,Credit,0.916347949,0.93984405,0.93984405,,0.93984405,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,24-Aug-17,24-Aug-17,8.24,1,Credit,0.975467171,1.00047915,1.00047915,,1.00047915,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,16-Nov-17,16-Nov-17,8.24,1,Credit,0.029559611,0.03031755,0.03031755,,0.03031755,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Television Broadcast Right,TERR745,Switzerland,,,,,,,10-Dec-17,10-Dec-17,8.24,1,Credit,0.029559611,0.03031755,0.03031755,,0.03031755,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,29-Jan-17,29-Jan-17,12.5,1,Credit,0.364568539,0.37391645,0.37391645,,0.37391645,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,18-Feb-17,18-Feb-17,12.5,1,Credit,0.31530252,0.3233872,0.3233872,,0.3233872,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,27-Apr-17,27-Apr-17,12.5,1,Credit,0.029559611,0.03031755,0.03031755,,0.03031755,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,19-Jun-17,19-Jun-17,12.5,1,Credit,0.206917279,0.21222285,0.21222285,,0.21222285,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,25-Dec-17,25-Dec-17,12.5,1,Credit,0.23647689,0.2425404,0.2425404,,0.2425404,SUISA,N,CH,,
AAGR88189,BCH50301,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Television Broadcast Right,TERR745,Switzerland,,,,,,,2-Sep-17,2-Sep-17,12.5,1,Credit,0.029559611,0.03031755,0.03031755,,0.03031755,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK578706,Left Ey3,"Reece, Vanessa [AIP106017]; Jeberg, Jonas [AIP13946]; Small, Craig A [AIP144455]; Kouame, Jean Baptiste [AIP18159]; McHenry, Michael Ojike [AIP23699]; Zolot, Natassia [AIP23700]; Buendia, Ryan [AIP34818]",,,PERF,Television Broadcast Right,TERR745,Switzerland,,,,,,,6-Nov-17,6-Nov-17,10,1,Credit,0.620751836,0.63666855,0.63666855,,0.63666855,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,5-Jan-17,5-Jan-17,12.5,1,Credit,0.256183298,0.2627521,0.2627521,,0.2627521,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,26-Jan-17,26-Jan-17,12.5,1,Credit,1.399154933,1.4350307,1.4350307,,1.4350307,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,27-Jan-17,27-Jan-17,12.5,1,Credit,0.748843485,0.7680446,0.7680446,,0.7680446,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,1-Feb-17,1-Feb-17,12.5,1,Credit,0.502513391,0.51539835,0.51539835,,0.51539835,SUISA,N,CH,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK931540,Words,"Fontana, Melanie Joy [AIP110590]; Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]",,,PERF,Radio Broadcast Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2494,Credit,1.972153653,2.022721319,2.022721319,,2.022721319,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK934402,Da Zhang Fu,"Jeberg, Jonas [AIP13946]; Hansen, Mich Hedin [AIP52425]; Sigvardt, Mikkel [AIP108651]; Woodford, Nina Sofia Marie [AIP83989]; Chen, Zheng Chuan [AIP76431]",,,PERF,Radio Broadcast Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,12,2358,Credit,0.14796602,0.151760209,0.151760209,,0.151760209,COMPASS,N,SG,,
AAGR88189,ABCH51980,SGAE_2018_11_CRD20180618133114017072_PERF_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Making Available Right - Interactive,TERR736,Spain,,,,,,,1-Jan-18,31-Mar-18,8.24,163,Credit,15.74449046,16.14819534,16.14819534,,16.14819534,SGAE,N,ES,,
AAGR88189,ABCH52000,SGAE_2018_09_CRD20180611073413017072_PERF_Q2 2018,AWK165675,Made In The USA,"Jeberg, Jonas [AIP13946]; Evigan, Jason Gregory [AIP16453]; Lovato, Demitria [AIP18233]; Gibson, Corey Reginald [AIP18260]; Perkins, Blair [AIP18263]",,,PERF,Radio Broadcast Right,TERR736,Spain,,,,,,,1-Jul-16,31-Dec-16,17.5,8,Credit,0.317612199,0.325756102,0.325756102,,0.325756102,SGAE,N,ES,,
AAGR88189,ABCH52000,SGAE_2018_09_CRD20180611073413017072_PERF_Q2 2018,AWK583636,The Way I Are (Dance With Somebody),"Rubicam, Shannon [AIP102175]; Rexha, Bleta [AIP133612]; Jeberg, Jonas [AIP13946]; Coffee, Clarence Bernard [AIP16456]; George, Robert Merril [AIP184730]; Hindlin, Jacob Kasher [AIP40775]; Carter, Dwayne Michael [AIP6958]; Little, Joel [AIP84665]",,,PERF,Radio Broadcast Right,TERR736,Spain,,,,,,,1-Jan-17,30-Jun-17,11.88,447,Credit,19.28359782,19.77804905,19.77804905,,19.77804905,SGAE,N,ES,,
AAGR88189,ABCH52000,SGAE_2018_09_CRD20180611073413017072_PERF_Q2 2018,AWK583636,The Way I Are (Dance With Somebody),"Rubicam, Shannon [AIP102175]; Rexha, Bleta [AIP133612]; Jeberg, Jonas [AIP13946]; Coffee, Clarence Bernard [AIP16456]; George, Robert Merril [AIP184730]; Hindlin, Jacob Kasher [AIP40775]; Carter, Dwayne Michael [AIP6958]; Little, Joel [AIP84665]",,,PERF,Right of Public Performance of a Recording,TERR736,Spain,,,,,,,1-Jul-17,31-Dec-17,11.88,163,Credit,106.0371014,108.7560015,108.7560015,,108.7560015,SGAE,N,ES,,
AAGR88189,ABCH52000,SGAE_2018_09_CRD20180611073413017072_PERF_Q2 2018,AWK931583,Out Run The Sun,"Abney, Terence L [AIP183955]; Jeberg, Jonas [AIP13946]; Brailsford, Marcella [AIP99548]",,,PERF,Radio Broadcast Right,TERR736,Spain,,,,,,,1-Jan-17,30-Jun-17,22.5,1,Credit,0.419702447,0.430463421,0.430463421,,0.430463421,SGAE,N,ES,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK165675,Made In The USA,"Jeberg, Jonas [AIP13946]; Evigan, Jason Gregory [AIP16453]; Lovato, Demitria [AIP18233]; Gibson, Corey Reginald [AIP18260]; Perkins, Blair [AIP18263]",,,PERF,Right of Public Performance of TV Broadcast,TERR624,Czech Republic,,,,,,,22-Mar-18,18-Jun-18,50,,Credit,0.00449252,0.004607716,0.00524016,,0.00524016,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK691698,Fetish,"Jeberg, Jonas [AIP13946]; Barletta, Gino Maurice [AIP144224]; Mane, Gucci [AIP182688]; Gomez, Selena [AIP43447]; Angelides, Chloe Christina [AIP50734]; McLaughlin, Brett [AIP71740]; Schwartz, Alex [AIP84748]; Khajadourian, Joe [AIP84749]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Feb-18,1-Mar-18,8.23,2,Credit,0.010856957,0.01113534,0.01266372,,0.01266372,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Feb-18,1-Mar-18,16.66,4,Credit,0.033693967,0.034557938,0.0393012,,0.0393012,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Feb-18,1-Mar-18,16.66,7,Credit,0.04305346,0.044157387,0.0502182,,0.0502182,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Mar-18,1-Apr-18,16.66,6,Credit,0.029950222,0.030718167,0.0349344,,0.0349344,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK775866,Reminding Me,"Jeberg, Jonas [AIP13946]; Thompson, Ethan [AIP147909]; Hlookoff, Shawn [AIP44263]",,,PERF,Making Available Right - Interactive,TERR624,Czech Republic,,,,,,,1-Jan-18,31-Mar-18,16.66,1,Credit,0.002995013,0.003071825,0.00349344,,0.00349344,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Mar-18,1-Apr-18,12.5,10,Credit,0.028827081,0.029566249,0.03362436,,0.03362436,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Making Available Right - Interactive,TERR624,Czech Republic,,,,,,,1-Jan-18,31-Mar-18,12.5,105,Credit,0.002246282,0.00230388,0.00262008,,0.00262008,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK922504,Hate This Part,"Hansen, Mich Hedin [AIP52425]; Secon, Lucas [AIP90564]; Jeberg, Jonas [AIP13946]; Hector, Wayne Anthony [AIP18240]",,,PERF,Making Available Right - Interactive,TERR624,Czech Republic,,,,,,,22-Mar-18,18-Jun-18,100,,Credit,0.000374366,0.000383973,0.00043668,,0.00043668,OSA,N,CZ,,
AAGR88189,ABCH52260,OSA_CRD20180620125541017050_Perf_Q2 2018,AWK925561,Cool,"Davis, Radric Delantic [AIP62888]; Friedman, Scott [AIP36522]; Jaehn, Felix Kurt [AIP128701]; Jeberg, Jonas [AIP13946]; Markowitz, Richard Samuel [AIP158169]; Premnath, Micah Rayan [AIP157839]",,,PERF,Radio Broadcast Right,TERR624,Czech Republic,,,,,,,1-Mar-18,1-Apr-18,6.25,129,Credit,0.912732772,0.936136156,1.06462584,,1.06462584,OSA,N,CZ,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Performing Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2204,Credit,2.556873832,2.622434888,2.622434888,,2.622434888,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Performing Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2231,Credit,5.966017916,6.118992734,6.118992734,,6.118992734,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Performing Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2264,Credit,0.691624909,0.709358504,0.709358504,,0.709358504,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Performing Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2480,Credit,0.922166789,0.945811339,0.945811339,,0.945811339,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Performing Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2505,Credit,0.691624909,0.709358504,0.709358504,,0.709358504,COMPASS,N,SG,,
AAGR88189,ABCH51859,COMPASS_P1701_E4_PERF_Q2 2018,AWK925563,Sledgehammer,"Douglas, Sean Maxwell [AIP18205]; Jeberg, Jonas [AIP13946]; Trainor, Meghan Elizabeth [AIP110622]",,,PERF,Radio Broadcast Right,TERR729,Singapore,,,,,,,1-Jan-17,30-Jun-17,16,2040,Credit,0.311250352,0.31923113,0.31923113,,0.31923113,COMPASS,N,SG,,
